"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(7, 141)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(7, 142)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(7, 143)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(7, 144)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(7, 145)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(7, 146)",2015,12,PASIR RIS,267,146,Apartment,1994,3459
"(7, 147)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(7, 148)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(7, 149)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(7, 150)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(8, 80)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 81)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 82)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 83)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 84)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 85)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 86)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 87)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 88)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 89)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 90)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 91)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 92)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 93)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 94)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 95)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 96)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 97)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 98)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 99)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 100)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 101)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 102)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 103)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 104)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 105)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 106)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 107)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 108)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 109)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 110)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 111)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 112)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 113)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 114)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 115)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 116)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 117)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 118)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 119)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 120)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 121)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 122)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 123)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 124)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 125)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 126)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 127)",2015,11,JURONG WEST,825,127,Improved,1993,2756
"(8, 128)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 129)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 130)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 131)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 132)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 133)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 134)",2015,08,CHOA CHU KANG,617,134,Model A,1996,3007
"(8, 135)",2015,07,CHOA CHU KANG,619,135,Model A,1996,3147
"(8, 136)",2015,06,JURONG WEST,757,136,Model A,1996,3147
"(8, 137)",2015,07,PASIR RIS,188,140,Model A,1993,3214
"(8, 138)",2015,07,PASIR RIS,188,140,Model A,1993,3214
"(8, 139)",2015,07,PASIR RIS,188,140,Model A,1993,3214
"(8, 140)",2015,07,PASIR RIS,188,140,Model A,1993,3214
"(8, 141)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(8, 142)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(8, 143)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(8, 144)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(8, 145)",2015,10,JURONG WEST,906,145,Maisonette,1989,3241
"(8, 146)",2015,12,PASIR RIS,267,146,Apartment,1994,3459
"(8, 147)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(8, 148)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(8, 149)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
"(8, 150)",2015,07,JURONG WEST,410,150,Maisonette,1985,3467
